Date,Exercise,Sets,Reps per Set,Weight Used (lbs),Total Volume (lbs)
2025-08-10,Smith Machine Bench Press (Flat),5,9,135,6075
2025-08-10,Smith Incline Bench Press,5,9,115,5175
2025-08-10,Dumbbell Flys,10,10,75 (pair avg),7500
2025-08-10,Cable Overhead Triceps Extension,10,10,30,3000
2025-08-10,EZ Bar Wrist Curl,10,10,35 (est),3500
2025-08-10,Lat Pulldown,10,10,100,10000
2025-08-10,Skull Crushers,10,10,40,4000
2025-08-14,Smith Machine Deep Squats,10,9,135,12150
2025-08-14,Calf Raises,10,10,240,24000
2025-08-14,Leg Curls,10,10,80,8000
2025-08-14,Seated Incline Arnold Press,10,9,70 (pair),6300
2025-08-15,Dumbbell Rear Delt Raise,10,10,40 (pair),4000
2025-08-15,Dumbbell Front Raise,5,10,40 (pair),2000
2025-08-15,Dumbbell Reverse Fly,5,10,20 (pair),1000
2025-08-15,Cable Lateral Raise Left,10,10,10,1000
2025-08-15,Cable Lateral Raise Right,10,10,10,1000
2025-08-15,Cable Face Pull,3,15,30,1350
2025-08-16,Chin-Ups (Bodyweight),3,6,168,3024
2025-08-16,Lat Pulldown,10,10,100 (avg),10000
2025-08-16,Cable Row,10,10,110,11000
2025-08-17,Machine Row (Pyramid),10,10,125 (avg),12500
2025-08-17,EZ Bar Curl,10,10,60,6000
2025-08-17,Cross-Body Hammer Curl,10,10,70 (pair),7000
2025-08-17,Machine Bicep Curl,10,10,mixed (95 x8, 90 x2),9400

